date,precipitation_height
2020-10-10 15:10:00,0.12
2020-10-10 15:15:00,0.19
2020-10-10 15:20:00,0.18
2020-10-10 15:25:00,0.3
2020-10-10 15:30:00,0.04
2020-10-10 15:35:00,0.0
2020-10-10 15:40:00,0.0
2020-10-10 15:45:00,0.0
2020-10-10 15:50:00,0.0
2020-10-10 15:55:00,0.0
2020-10-10 16:00:00,0.0
2020-10-10 16:05:00,0.0
2020-10-10 16:10:00,0.0
2020-10-10 16:15:00,0.0
2020-10-10 16:20:00,0.04
2020-10-10 16:25:00,0.05
2020-10-10 16:30:00,0.15
2020-10-10 16:35:00,0.14
2020-10-10 16:40:00,0.4
2020-10-10 16:45:00,0.19
2020-10-10 16:50:00,0.15
2020-10-10 16:55:00,0.04
2020-10-10 17:00:00,0.05
2020-10-10 17:05:00,0.01
2020-10-10 17:10:00,0.13
2020-10-10 17:15:00,0.19
2020-10-10 17:20:00,0.18
2020-10-10 17:25:00,0.21
2020-10-10 17:30:00,0.18
2020-10-10 17:35:00,0.19
2020-10-10 17:40:00,0.28
2020-10-10 17:45:00,0.23
2020-10-10 17:50:00,0.21
2020-10-10 17:55:00,0.15
2020-10-10 18:00:00,0.18
2020-10-10 18:05:00,0.14
2020-10-10 18:10:00,0.5
2020-10-10 18:15:00,0.56
2020-10-10 18:20:00,0.41
2020-10-10 18:25:00,0.23
2020-10-10 18:30:00,0.3
2020-10-10 18:35:00,0.21
2020-10-10 18:40:00,0.3
2020-10-10 18:45:00,0.16
2020-10-10 18:50:00,0.19
2020-10-10 18:55:00,0.29
2020-10-10 19:00:00,0.35
2020-10-10 19:05:00,0.33
2020-10-10 19:10:00,0.19
2020-10-10 19:15:00,0.31
2020-10-10 19:20:00,0.25
2020-10-10 19:25:00,0.19
2020-10-10 19:30:00,0.31
2020-10-10 19:35:00,0.21
2020-10-10 19:40:00,0.35
2020-10-10 19:45:00,0.1
2020-10-10 19:50:00,0.11
2020-10-10 19:55:00,0.2
2020-10-10 20:00:00,0.04
2020-10-10 20:05:00,0.05
2020-10-10 20:10:00,0.16
2020-10-10 20:15:00,0.13
2020-10-10 20:20:00,0.17
2020-10-10 20:25:00,0.18
2020-10-10 20:30:00,0.03
2020-10-10 20:35:00,0.0
2020-10-10 20:40:00,0.05
2020-10-10 20:45:00,0.05
2020-10-10 20:50:00,0.15
2020-10-10 20:55:00,0.08
2020-10-10 21:00:00,0.03
2020-10-10 21:05:00,0.11
2020-10-10 21:10:00,0.11
2020-10-10 21:15:00,0.0
