date,precipitation_height
2017-10-06 05:20:00,0.04
2017-10-06 05:25:00,0.0
2017-10-06 05:30:00,0.0
2017-10-06 05:35:00,0.0
2017-10-06 05:40:00,0.03
2017-10-06 05:45:00,0.0
2017-10-06 05:50:00,0.0
2017-10-06 05:55:00,0.0
2017-10-06 06:00:00,0.0
2017-10-06 06:05:00,0.0
2017-10-06 06:10:00,0.0
2017-10-06 06:15:00,0.0
2017-10-06 06:20:00,0.0
2017-10-06 06:25:00,0.0
2017-10-06 06:30:00,0.0
2017-10-06 06:35:00,0.0
2017-10-06 06:40:00,0.0
2017-10-06 06:45:00,0.0
2017-10-06 06:50:00,0.0
2017-10-06 06:55:00,0.0
2017-10-06 07:00:00,0.0
2017-10-06 07:05:00,0.18
2017-10-06 07:10:00,0.05
2017-10-06 07:15:00,0.04
2017-10-06 07:20:00,0.0
2017-10-06 07:25:00,0.0
2017-10-06 07:30:00,0.0
2017-10-06 07:35:00,0.0
2017-10-06 07:40:00,0.0
2017-10-06 07:45:00,0.11
2017-10-06 07:50:00,0.46
2017-10-06 07:55:00,0.23
2017-10-06 08:00:00,0.18
2017-10-06 08:05:00,0.4
2017-10-06 08:10:00,0.17
2017-10-06 08:15:00,0.23
2017-10-06 08:20:00,0.13
2017-10-06 08:25:00,0.06
2017-10-06 08:30:00,0.0
2017-10-06 08:35:00,0.0
2017-10-06 08:40:00,0.03
2017-10-06 08:45:00,0.18
2017-10-06 08:50:00,0.04
2017-10-06 08:55:00,0.04
2017-10-06 09:00:00,0.0
2017-10-06 09:05:00,0.07
2017-10-06 09:10:00,0.04
2017-10-06 09:15:00,0.05
2017-10-06 09:20:00,0.03
2017-10-06 09:25:00,0.0
