date,precipitation_height
2018-01-17 08:30:00,0.03
2018-01-17 08:35:00,0.05
2018-01-17 08:40:00,0.06
2018-01-17 08:45:00,0.0
2018-01-17 08:50:00,0.0
2018-01-17 08:55:00,0.0
2018-01-17 09:00:00,0.0
2018-01-17 09:05:00,0.0
2018-01-17 09:10:00,0.0
2018-01-17 09:15:00,0.0
2018-01-17 09:20:00,0.0
2018-01-17 09:25:00,0.0
2018-01-17 09:30:00,0.0
2018-01-17 09:35:00,0.0
2018-01-17 09:40:00,0.0
2018-01-17 09:45:00,0.0
2018-01-17 09:50:00,0.0
2018-01-17 09:55:00,0.0
2018-01-17 10:00:00,0.0
2018-01-17 10:05:00,0.0
2018-01-17 10:10:00,0.0
2018-01-17 10:15:00,0.0
2018-01-17 10:20:00,0.0
2018-01-17 10:25:00,0.0
2018-01-17 10:30:00,0.0
2018-01-17 10:35:00,0.0
2018-01-17 10:40:00,0.0
2018-01-17 10:45:00,0.0
2018-01-17 10:50:00,0.0
2018-01-17 10:55:00,0.0
2018-01-17 11:00:00,0.0
2018-01-17 11:05:00,0.0
2018-01-17 11:10:00,0.0
2018-01-17 11:15:00,0.0
2018-01-17 11:20:00,0.0
2018-01-17 11:25:00,0.0
2018-01-17 11:30:00,0.0
2018-01-17 11:35:00,0.0
2018-01-17 11:40:00,0.0
2018-01-17 11:45:00,0.0
2018-01-17 11:50:00,0.0
2018-01-17 11:55:00,0.0
2018-01-17 12:00:00,0.0
2018-01-17 12:05:00,0.0
2018-01-17 12:10:00,0.0
2018-01-17 12:15:00,0.0
2018-01-17 12:20:00,0.0
2018-01-17 12:25:00,0.15
2018-01-17 12:30:00,0.28
2018-01-17 12:35:00,0.25
2018-01-17 12:40:00,0.24
2018-01-17 12:45:00,0.25
2018-01-17 12:50:00,0.35
2018-01-17 12:55:00,0.11
2018-01-17 13:00:00,0.54
2018-01-17 13:05:00,0.52
2018-01-17 13:10:00,0.65
2018-01-17 13:15:00,0.25
2018-01-17 13:20:00,0.28
2018-01-17 13:25:00,0.37
2018-01-17 13:30:00,0.34
2018-01-17 13:35:00,0.22
2018-01-17 13:40:00,0.04
2018-01-17 13:45:00,0.0
2018-01-17 13:50:00,0.0
2018-01-17 13:55:00,0.0
2018-01-17 14:00:00,0.04
2018-01-17 14:05:00,0.0
2018-01-17 14:10:00,0.0
2018-01-17 14:15:00,0.09
2018-01-17 14:20:00,0.27
2018-01-17 14:25:00,0.25
2018-01-17 14:30:00,0.26
2018-01-17 14:35:00,0.1
2018-01-17 14:40:00,0.0
2018-01-17 14:45:00,0.12
2018-01-17 14:50:00,0.06
2018-01-17 14:55:00,0.13
2018-01-17 15:00:00,0.43
2018-01-17 15:05:00,0.5
2018-01-17 15:10:00,0.44
2018-01-17 15:15:00,0.04
2018-01-17 15:20:00,0.0
2018-01-17 15:25:00,0.0
2018-01-17 15:30:00,0.5
2018-01-17 15:35:00,0.15
2018-01-17 15:40:00,0.04
2018-01-17 15:45:00,0.15
2018-01-17 15:50:00,0.17
2018-01-17 15:55:00,0.03
2018-01-17 16:00:00,0.03
2018-01-17 16:05:00,0.27
2018-01-17 16:10:00,0.21
2018-01-17 16:15:00,0.0
2018-01-17 16:20:00,0.0
2018-01-17 16:25:00,0.0
2018-01-17 16:30:00,0.0
2018-01-17 16:35:00,0.08
2018-01-17 16:40:00,0.03
2018-01-17 16:45:00,0.03
2018-01-17 16:50:00,0.0
