date,precipitation_height
2022-12-30 23:45:00,0.1
2022-12-30 23:50:00,0.28
2022-12-30 23:55:00,0.2
2022-12-31 00:00:00,0.25
2022-12-31 00:05:00,0.07
2022-12-31 00:10:00,0.09
2022-12-31 00:15:00,0.06
2022-12-31 00:20:00,0.13
2022-12-31 00:25:00,0.15
2022-12-31 00:30:00,0.12
2022-12-31 00:35:00,0.07
2022-12-31 00:40:00,0.04
2022-12-31 00:45:00,0.01
2022-12-31 00:50:00,0.0
2022-12-31 00:55:00,0.01
2022-12-31 01:00:00,0.0
2022-12-31 01:05:00,0.01
2022-12-31 01:10:00,0.0
2022-12-31 01:15:00,0.0
2022-12-31 01:20:00,0.0
2022-12-31 01:25:00,0.15
2022-12-31 01:30:00,0.06
2022-12-31 01:35:00,0.18
2022-12-31 01:40:00,0.25
2022-12-31 01:45:00,0.36
2022-12-31 01:50:00,0.39
2022-12-31 01:55:00,0.31
2022-12-31 02:00:00,0.32
2022-12-31 02:05:00,0.15
2022-12-31 02:10:00,0.18
2022-12-31 02:15:00,0.16
2022-12-31 02:20:00,0.17
2022-12-31 02:25:00,0.29
2022-12-31 02:30:00,0.45
2022-12-31 02:35:00,0.38
2022-12-31 02:40:00,0.39
2022-12-31 02:45:00,0.44
2022-12-31 02:50:00,0.45
2022-12-31 02:55:00,0.34
2022-12-31 03:00:00,0.32
2022-12-31 03:05:00,0.32
2022-12-31 03:10:00,0.7
2022-12-31 03:15:00,1.11
2022-12-31 03:20:00,0.51
2022-12-31 03:25:00,0.34
2022-12-31 03:30:00,0.86
2022-12-31 03:35:00,1.0
2022-12-31 03:40:00,0.39
2022-12-31 03:45:00,0.29
2022-12-31 03:50:00,0.1
2022-12-31 03:55:00,0.03
2022-12-31 04:00:00,0.02
2022-12-31 04:05:00,0.02
2022-12-31 04:10:00,0.0
2022-12-31 04:15:00,0.0
2022-12-31 04:20:00,0.08
2022-12-31 04:25:00,0.25
2022-12-31 04:30:00,0.22
2022-12-31 04:35:00,0.13
2022-12-31 04:40:00,0.12
2022-12-31 04:45:00,0.4
2022-12-31 04:50:00,0.31
2022-12-31 04:55:00,0.42
2022-12-31 05:00:00,0.15
2022-12-31 05:05:00,0.32
2022-12-31 05:10:00,0.45
2022-12-31 05:15:00,0.64
2022-12-31 05:20:00,0.83
2022-12-31 05:25:00,0.65
2022-12-31 05:30:00,0.61
2022-12-31 05:35:00,0.66
2022-12-31 05:40:00,0.63
2022-12-31 05:45:00,0.89
2022-12-31 05:50:00,0.87
2022-12-31 05:55:00,0.74
2022-12-31 06:00:00,0.41
2022-12-31 06:05:00,0.64
2022-12-31 06:10:00,0.56
2022-12-31 06:15:00,0.37
2022-12-31 06:20:00,0.26
2022-12-31 06:25:00,0.27
2022-12-31 06:30:00,0.31
2022-12-31 06:35:00,0.29
2022-12-31 06:40:00,0.22
2022-12-31 06:45:00,0.1
2022-12-31 06:50:00,0.15
2022-12-31 06:55:00,0.45
2022-12-31 07:00:00,0.44
2022-12-31 07:05:00,0.98
2022-12-31 07:10:00,0.66
2022-12-31 07:15:00,0.75
2022-12-31 07:20:00,0.35
2022-12-31 07:25:00,0.17
2022-12-31 07:30:00,0.2
2022-12-31 07:35:00,0.12
2022-12-31 07:40:00,0.13
2022-12-31 07:45:00,0.0
2022-12-31 07:50:00,0.0
2022-12-31 07:55:00,0.07
2022-12-31 08:00:00,0.1
2022-12-31 08:05:00,0.04
2022-12-31 08:10:00,0.12
2022-12-31 08:15:00,0.14
2022-12-31 08:20:00,0.04
2022-12-31 08:25:00,0.01
2022-12-31 08:30:00,0.0
2022-12-31 08:35:00,0.0
2022-12-31 08:40:00,0.0
2022-12-31 08:45:00,0.0
2022-12-31 08:50:00,0.0
2022-12-31 08:55:00,0.0
2022-12-31 09:00:00,0.0
2022-12-31 09:05:00,0.0
2022-12-31 09:10:00,0.0
2022-12-31 09:15:00,0.02
2022-12-31 09:20:00,0.01
2022-12-31 09:25:00,0.0
2022-12-31 09:30:00,0.0
2022-12-31 09:35:00,0.0
2022-12-31 09:40:00,0.0
2022-12-31 09:45:00,0.02
2022-12-31 09:50:00,0.0
2022-12-31 09:55:00,0.0
2022-12-31 10:00:00,1.11
2022-12-31 10:05:00,0.6
2022-12-31 10:10:00,0.18
2022-12-31 10:15:00,0.46
2022-12-31 10:20:00,0.0
2022-12-31 10:25:00,0.05
2022-12-31 10:30:00,0.02
2022-12-31 10:35:00,0.0
2022-12-31 10:40:00,0.0
2022-12-31 10:45:00,0.0
2022-12-31 10:50:00,0.0
2022-12-31 10:55:00,0.0
2022-12-31 11:00:00,0.0
2022-12-31 11:05:00,0.29
2022-12-31 11:10:00,0.07
2022-12-31 11:15:00,0.0
2022-12-31 11:20:00,0.0
2022-12-31 11:25:00,0.0
2022-12-31 11:30:00,0.0
2022-12-31 11:35:00,0.0
2022-12-31 11:40:00,0.0
2022-12-31 11:45:00,0.0
2022-12-31 11:50:00,0.0
2022-12-31 11:55:00,0.0
2022-12-31 12:00:00,0.0
2022-12-31 12:05:00,0.0
2022-12-31 12:10:00,0.0
2022-12-31 12:15:00,0.0
2022-12-31 12:20:00,0.0
2022-12-31 12:25:00,0.0
2022-12-31 12:30:00,0.01
2022-12-31 12:35:00,0.0
2022-12-31 12:40:00,0.0
2022-12-31 12:45:00,0.01
2022-12-31 12:50:00,0.0
2022-12-31 12:55:00,0.0
2022-12-31 13:00:00,0.0
2022-12-31 13:05:00,0.0
2022-12-31 13:10:00,0.0
2022-12-31 13:15:00,0.0
2022-12-31 13:20:00,0.0
2022-12-31 13:25:00,0.0
2022-12-31 13:30:00,0.01
2022-12-31 13:35:00,0.09
2022-12-31 13:40:00,0.08
2022-12-31 13:45:00,0.12
2022-12-31 13:50:00,0.08
2022-12-31 13:55:00,0.05
2022-12-31 14:00:00,0.01
