date,precipitation_height
2014-06-09 00:35:00,0.17
2014-06-09 00:40:00,0.37
2014-06-09 00:45:00,0.27
2014-06-09 00:50:00,0.11
2014-06-09 00:55:00,0.34
2014-06-09 01:00:00,1.02
2014-06-09 01:05:00,0.9
2014-06-09 01:10:00,0.04
2014-06-09 01:15:00,0.0
2014-06-09 01:20:00,0.0
2014-06-09 01:25:00,1.08
2014-06-09 01:30:00,2.92
2014-06-09 01:35:00,0.08
2014-06-09 01:40:00,0.0
2014-06-09 01:45:00,0.1
2014-06-09 01:50:00,2.2
2014-06-09 01:55:00,1.13
2014-06-09 02:00:00,0.65
2014-06-09 02:05:00,0.44
2014-06-09 02:10:00,0.02
2014-06-09 02:15:00,0.0
